ID Earthquake;Flag Tsunami;Year;Month;Day;Ms Magnitude;Ml Magnitude;Country;Location name;Earthquake : Deaths;Earthquake : Deaths Description;Earthquake : Damage (in M$);ICoordinates
8002;No;1930;9.0;21.0;6.5;0.0;CHINA;CHINA:  YUNNAN PROVINCE:;0.0;No deaths reported;0.0;25.8, 98.4
6088;Yes;1930;9.0;30.0;6.8;0.0;PAPUA NEW GUINEA;PAPUA NEW GUINEA:  BISMARCK SEA;0.0;No deaths reported;0.0;-4.423, 145.46
8008;No;1935;6.0;7.0;5.8;0.0;TAIWAN;TAIWAN:  TAIZHONG;0.0;No deaths reported;0.0;24.2, 120.5
3555;No;1935;7.0;16.0;6.5;0.0;TAIWAN;TAIWAN:  XIINZHU;2746.0;Very Many (~1001 or more deaths);0.0;24.6, 120.8
3621;Yes;1938;6.0;10.0;7.7;0.0;JAPAN;JAPAN:  SW RYUKYU ISLANDS;0.0;No deaths reported;0.0;25.208, 125.115
3784;No;1944;9.0;5.0;5.6;0.0;USA;NEW YORK:  MASSENA;0.0;No deaths reported;2.0;44.957, -74.723
3822;Yes;1946;4.0;1.0;7.3;0.0;USA;ALASKA:  UNIMAK ISLAND;0.0;No deaths reported;0.0;53.492, -162.832
8023;No;1949;2.0;23.0;7.3;0.0;CHINA;CHINA:  XINJIANG PROVINCE;21.0;Few (~1 to 50 deaths);0.0;42.0, 84.0
6368;Yes;1954;11.0;18.0;6.5;0.0;JAPAN;JAPAN:  HONSHU:  MIYAGI PREFECTURE;0.0;No deaths reported;0.0;38.9, 142.2
4167;Yes;1958;7.0;10.0;7.9;0.0;USA;ALASKA:  LITUYA BAY;0.0;No deaths reported;0.0;58.37, -136.665
4201;No;1959;8.0;26.0;6.9;0.0;MEXICO;MEXICO:  GULF OF CAMPECHE;25.0;Few (~1 to 50 deaths);0.0;18.3, -94.4
4216;Yes;1960;2.0;29.0;5.9;0.0;MOROCCO;MOROCCO:  AGADIR;13100.0;Very Many (~1001 or more deaths);120.0;30.45, -9.62
4313;Yes;1964;4.0;2.0;7.0;0.0;INDONESIA;INDONESIA:  BANDA ACEH;0.0;No deaths reported;0.0;5.9, 95.7
9812;No;1965;4.0;19.0;6.0;0.0;JAPAN;JAPAN:  AICHI, SHIZOUKA PREFECTURES;1.0;Few (~1 to 50 deaths);0.0;34.9, 138.0
8084;No;1966;4.0;20.0;5.3;0.0;CHINA;CHINA:  HEBEI PROVINCE;0.0;No deaths reported;0.0;37.25, 114.78
4399;No;1967;7.0;13.0;5.0;0.0;ALGERIA;ALGERIA:  NEAR SIG;10.0;Few (~1 to 50 deaths);0.0;35.5, -0.1
4407;No;1967;7.0;29.0;6.8;0.0;COLOMBIA;COLOMBIA;20.0;Few (~1 to 50 deaths);0.0;6.8, -73.0
6630;Yes;1967;12.0;21.0;7.5;0.0;CHILE;CHILE:  NORTHERN;1.0;Few (~1 to 50 deaths);0.0;-21.7, -69.5
4434;No;1968;4.0;29.0;5.3;0.0;IRAN;IRAN:  MAKU,SHAH BANDALU,QURTA BOLAGH,QONDEQLI;38.0;Few (~1 to 50 deaths);1.0;39.2, 44.3
6430;Yes;1970;7.0;25.0;7.0;0.0;JAPAN;SEIKAIDO, JAPAN;0.0;No deaths reported;0.0;32.2, 131.7
6548;Yes;1971;9.0;8.0;6.2;0.0;RUSSIA;RUSSIA:  TATAR STRAIT;0.0;No deaths reported;0.0;46.3, 140.9
4590;Yes;1972;1.0;25.0;7.5;0.0;TAIWAN;TAIWAN;1.0;Few (~1 to 50 deaths);0.0;22.5, 122.3
4608;No;1972;7.0;2.0;5.3;0.0;IRAN;IRAN:  MISHAN-E-MARKAZI,TALKHAB,MISHAN SOFLA;0.0;No deaths reported;0.0;30.1, 50.8
4617;Yes;1972;12.0;4.0;7.4;0.0;JAPAN;JAPAN:  S OF HONSHU, HACHIJOJIMA;0.0;No deaths reported;0.0;33.3, 140.7
4633;No;1973;4.0;1.0;5.9;0.0;ETHIOPIA;ETHIOPIA:  DJIBOUTI;0.0;No deaths reported;0.0;11.66, 43.03
4708;No;1976;1.0;14.0;7.8;0.0;KERMADEC ISLANDS (NEW ZEALAND);KERMADEC ISLANDS;0.0;No deaths reported;0.0;-29.208, -177.886
4718;No;1976;4.0;9.0;6.7;0.0;ECUADOR;ECUADOR:  ESMERALDOS;10.0;Few (~1 to 50 deaths);4.0;0.78, -79.8
4720;No;1976;5.0;6.0;6.5;0.0;ITALY;ITALY:  NE, BALKANS NW:   SLOVENIA: NW;978.0;Many (~101 to 1000 deaths);3600.0;46.356, 13.275
4727;No;1976;6.0;7.0;6.4;0.0;MEXICO;MEXICO:  MEXICO CITY;0.0;No deaths reported;0.0;17.4, -100.64
4732;No;1976;7.0;26.0;6.2;0.0;MALAYSIA;MALAYSIA:  SABAH:  LAHAD,DATU,KANAK;0.0;No deaths reported;0.0;4.96, 118.31
4780;No;1977;8.0;31.0;6.5;0.0;COLOMBIA;COLOMBIA:  APARTADO, MEDELLIN;3.0;Few (~1 to 50 deaths);0.0;7.34, -76.3
4814;No;1978;9.0;3.0;5.3;5.9;GERMANY;GERMANY;0.0;No deaths reported;150.0;48.29, 9.01
4821;No;1978;12.0;14.0;6.2;0.0;IRAN;IRAN:  MASJED-E-SOLEYMAN;76.0;Some (~51 to 100 deaths);0.0;32.14, 49.65
4838;No;1979;7.0;1.0;6.5;0.0;PANAMA;PANAMA-COSTA RICA:  PUERTO ARMUELLES;0.0;No deaths reported;2.0;8.316, -82.943
4861;No;1979;12.0;7.0;6.0;0.0;IRAN;IRAN;0.0;No deaths reported;0.0;34.033, 59.817
4929;No;1981;9.0;12.0;5.9;0.0;PAKISTAN;PAKISTAN: GILGIT;220.0;Many (~101 to 1000 deaths);5.0;35.693, 73.594
4982;No;1983;7.0;12.0;6.1;0.0;USA;ALASKA:  PRINCE WILLIAM SOUND;0.0;No deaths reported;1.0;61.031, -147.286
5007;Yes;1983;11.0;30.0;7.6;0.0;UK TERRITORY;INDIAN OCEAN:  CHAGOS ARCHIPELAGO:  DIEGO GARCIA;0.0;No deaths reported;0.0;-6.852, 72.11
5030;No;1984;4.0;24.0;6.1;6.2;USA;CALIFORNIA:  CENTRAL:  MORGAN HILL;0.0;No deaths reported;8.0;37.32, -121.698
5079;No;1985;9.0;27.0;6.9;0.0;SOLOMON ISLANDS;SOLOMON ISLANDS:  HONIARA, GUADACANAL;0.0;No deaths reported;0.0;-9.829, 159.854
5114;No;1986;10.0;16.0;4.5;0.0;PAKISTAN;PAKISTAN:  KHUZDAR;0.0;No deaths reported;0.0;27.727, 66.65
5320;No;1992;4.0;23.0;6.3;6.1;USA;CALIFORNIA:  JOSHUA TREE, ANGELUS OAKS;0.0;No deaths reported;0.0;33.961, -116.318
5370;No;1994;1.0;3.0;5.5;0.0;CHINA;CHINA:  QINGHAI PROVINCE:  GONGHE;0.0;No deaths reported;0.0;36.028, 100.104
5386;No;1994;6.0;5.0;6.6;0.0;TAIWAN;TAIWAN:  CHI-LUNG, I-LAN, TAIPEI, NAN-AO;1.0;Few (~1 to 50 deaths);0.0;24.511, 121.905
5418;Yes;1995;9.0;14.0;7.2;0.0;MEXICO;MEXICO:  GUERRERO, OAXACA, PUEBLA, MEXICO CITY;3.0;Few (~1 to 50 deaths);0.0;16.779, -98.597
5424;No;1995;10.0;23.0;6.4;0.0;CHINA;CHINA:  YUNNAN PROVINCE:  WUDING;81.0;Some (~51 to 100 deaths);80.0;26.003, 102.227
5430;No;1996;2.0;3.0;6.5;0.0;CHINA;CHINA:  YUNNAN PROVINCE:  LIJIANG;322.0;Many (~101 to 1000 deaths);506.0;27.291, 100.276
5456;No;1997;4.0;6.0;5.8;0.0;CHINA;CHINA:  S. XINJIANG;0.0;No deaths reported;0.0;39.537, 76.998
5467;Yes;1997;7.0;9.0;6.8;0.0;VENEZUELA;VENEZUELA:  CARIACO-CUMANA;81.0;Some (~51 to 100 deaths);81.0;10.598, -63.486
7447;Yes;1997;9.0;30.0;6.5;0.0;JAPAN;JAPAN:  HONSHU:  S;0.0;No deaths reported;0.0;31.959, 141.878
5486;No;1998;2.0;20.0;5.7;0.0;AFGHANISTAN;AFGHANISTAN-TAJIKISTAN:  YAR HUSAIN, ASTOR;1.0;Few (~1 to 50 deaths);0.0;36.479, 71.086
